外出禁止令,41022,がいしゅつきんしれい,curfew
外資系企業,41025,がいしけいきぎょう,foreign-owned enterprise
専務取締役,41101,せんむとりしまりやく,(senior) managing director
強制収容所,41156,きょうせいしゅうようじょ,concentration camp
手荷物検査,41209,てにもつけんさ,hand baggage search
文部科学省,41255,もんぶかがくしょう,Ministry of Education
染色体異常,41319,せんしょくたいいじょう,chromosomal abnormality
海上自衛隊,41403,かいじょうじえいたい,Maritime Self Defense Forces (Defence)
第二次大戦,41565,だいにじたいせん,Second World War
紅白歌合戦,41578,こうはくうたがっせん,Red and White singing contest
臍帯血移植,41629,さいたいけついしょく,umbilical cord blood transplant
自動車産業,41632,じどうしゃさんぎょう,automotive industry
草食系男子,41662,そうしょくけいだんし,young men who are not competitive as in the traditional male stereotype
過酸化水素,41776,かさんかすいそ,H2O2
多重債務者,42309,たじゅうさいむしゃ,person with multiple debts
大統領選挙,42320,だいとうりょうせんきょ,presidential election
悪性黒色腫,42472,あくせいこくしょくしゅ,malignant melanoma
戦略的撤退,42499,せんりゃくてきてったい,strategic withdrawal
新興住宅地,42571,しんこうじゅうたくち,new residential area
爆弾低気圧,42754,ばくだんていきあつ,bomb cyclone
肝機能障害,42930,かんきのうしょうがい,impairment of liver function
自動車事故,42953,じどうしゃじこ,motor(ing) (an auto) accident
費用対効果,43073,ひようたいこうか,cost-effectiveness
阿弥陀如来,43166,あみだにょらい,Amitabha Tathagata
電動車椅子,43185,でんどうくるまいす,electric wheelchair
電気機関車,43187,でんききかんしゃ,electric locomotive
高度成長期,43225,こうどせいちょうき,period of rapid growth (especially Japan's period of rapid economic growth after WWII)
一等航海士,43327,いっとうこうかいし,first mate
三三七拍子,43337,さんさんななびょうし,three-three-seven rhythmic clapping pattern
会社更生法,43428,かいしゃこうせいほう,Corporate Rehabilitation Law
個人事業主,43461,こじんじぎょうぬし,one-man business
圧倒的多数,43675,あっとうてきたすう,overwhelming numbers
太陽熱発電,43732,たいようねつはつでん,solar thermal power generation
季節労働者,43759,きせつろうどうしゃ,seasonal laborer
家庭内別居,43780,かていないべっきょ,living apart in the same house
心臓弁膜症,43895,しんぞうべんまくしょう,valvular heart disease
懲罰委員会,43924,ちょうばついいんかい,disciplinary committee
時間外労働,44032,じかんがいろうどう,overtime work
火力発電所,44191,かりょくはつでんしょ,thermal power station (i.e. using combustion)
研究発表会,44304,けんきゅうはっぴょうかい,meeting for reading research papers
社会主義者,44308,しゃかいしゅぎしゃ,socialist (person)
等辺三角形,44338,とうへんさんかくけい,isosceles triangle; isosceles triangle
結婚披露宴,44364,けっこんひろうえん,wedding reception banquet
解散総選挙,44517,かいさんそうせんきょ,snap election
運営委員会,44611,うんえいいいんかい,steering committee
遮光器土偶,44617,しゃこうきどぐう,"spaceman" clay figurine from about 500 AD
電波望遠鏡,44695,でんぱぼうえんきょう,radio telescope
魚雷発射管,44749,ぎょらいはっしゃかん,torpedo tube
不可侵条約,44921,ふかしんじょうやく,non-aggression pact
世界新記録,44928,せかいしんきろく,new world record
免疫抑制剤,45055,めんえきよくせいざい,immunosuppressant (drug)
出生証明書,45089,しゅっしょうしょうめいしょ,birth certificate; birth certificate
固定資産税,45223,こていしさんぜい,real estate tax
地方検察庁,45240,ちほうけんさつちょう,District Public Prosecutor's Office
妙法蓮華経,45319,みょうほうれんげきょう,Scripture of the Lotus Blossom of the Fine Dharma
少年鑑別所,45386,しょうねんかんべつしょ,juvenile detention centre
強迫神経症,45457,きょうはくしんけいしょう,obsessional neurosis
得手不得手,45466,えてふえて,strong and weak points
急降下爆撃,45488,きゅうこうかばくげき,dive bombing
成績優秀者,45514,せいせきゆうしゅうしゃ,high achiever
放射性物質,45579,ほうしゃせいぶっしつ,radioactive material
日本新記録,45609,にほんしんきろく,new Japanese record; new Japanese record
最終処分場,45648,さいしゅうしょぶんじょう,final disposal location
永世中立国,45750,えいせいちゅうりつこく,permanent neutral country
源泉所得税,45811,げんせんしょとくぜい,income tax withheld at the source
特許出願中,45869,とっきょしゅつがんちゅう,patent pending
美術評論家,46076,びじゅつひょうろんか,art critic
胸部大動脈,46107,きょうぶだいどうみゃく,thoracic aorta
自転車操業,46128,じてんしゃそうぎょう,barely keeping a business going (analogy that a bicycle falls over when its wheels cease rotating)
自転車置場,46129,じてんしゃおきば,place for storing bicycles
超音波検査,46287,ちょうおんぱけんさ,ultrasound examination
農林水産省,46305,のうりんすいさんしょう,Ministry of Agriculture
道交法違反,46347,どうこうほういはん,traffic infringement
頭蓋内損傷,46451,ずがいないそんしょう,intracranial injury
高齢化社会,46488,こうれいかしゃかい,aging society
麻薬取締法,46502,まやくとりしまりほう,(Japanese) Narcotics Control Law
中性子爆弾,46683,ちゅうせいしばくだん,neutron bomb
人間生態学,46732,にんげんせいたいがく,human ecology
分子生物学,46889,ぶんしせいぶつがく,molecular biology
利用者登録,46904,りようしゃとうろく,user registration
国際映画祭,47073,こくさいえいがさい,international film festival
士官候補生,47105,しかんこうほせい,military cadet
奨学金制度,47178,しょうがくきんせいど,scholarship system
子宮内膜症,47193,しきゅうないまくしょう,endometriosis
完全主義者,47210,かんぜんしゅぎしゃ,perfectionist
対人恐怖症,47235,たいじんきょうふしょう,anthropophobia
少林寺拳法,47251,しょうりんじけんぽう,Shorinji Kempo (modern Japanese martial art based on Shaolin kung fu)
常務取締役,47285,じょうむとりしまりやく,managing director
惑星間航行,47376,わくせいかんこうこう,interplanetary cruise
未確認情報,47562,みかくにんじょうほう,unconfirmed information
東京大空襲,47573,とうきょうだいくうしゅう,Great Tokyo Air Raid (firebombing of Tokyo
毛細管現象,47655,もうさいかんげんしょう,capillary phenomenon
法定相続人,47699,ほうていそうぞくじん,legal heir
法廷侮辱罪,47700,ほうていぶじょくざい,(crime of) contempt of court
淡路大震災,47732,あわじだいしんさい,Great Kobe earthquake of 1995 (the epicenter was located on Awaji island)
生活必需品,47826,せいかつひつじゅひん,daily (living) necessities
生活習慣病,47827,せいかつしゅうかんびょう,lifestyle disease
知的好奇心,47900,ちてきこうきしん,intellectual curiosity
硬膜外麻酔,47911,こうまくがいますい,epidural anaesthesia
結婚適齢期,47997,けっこんてきれいき,marriageable age
肉食系女子,48047,にくしょくけいじょし,carnivorous female
見世物小屋,48180,みせものこや,show tent
遺産相続人,48323,いさんそうぞくにん,heir
郵便配達人,48330,ゆうびんはいたつにん,mailman
音楽評論家,48429,おんがくひょうろんか,music critic
食品添加物,48450,しょくひんてんかぶつ,food additive
一夫多妻制,48650,いっぷたさいせい,polygamy
不動産業界,48704,ふどうさんぎょうかい,real estate world
人民解放軍,48810,じんみんかいほうぐん,People's Liberation Army
仕事関係者,48820,しごとかんけいしゃ,business associate
個人投資家,48886,こじんとうしか,individual investor
債務不履行,48903,さいむふりこう,default on a debt
円形脱毛症,48966,えんけいだつもうしょう,alopecia areata
動物行動学,49035,どうぶつこうどうがく,ethology (study of animal behavior)
区議会議員,49050,くぎかいぎいん,ward assemblyman
十重二十重,49055,とえはたえ,multitude
反政府勢力,49091,はんせいふせいりょく,anti-government forces
周産期医療,49154,しゅうさんきいりょう,perinatal care
商工会議所,49166,しょうこうかいぎしょ,Chamber of Commerce and Industry
国民栄誉賞,49193,こくみんえいよしょう,People's Honour Award (honor)
地域密着型,49210,ちいきみっちゃくがた,community-based
大脳辺縁系,49278,だいのうへんえんけい,limbic system
大腿四頭筋,49280,だいたいしとうきん,quadriceps muscle
大麻取締法,49284,たいまとりしまりほう,Cannabis Control Law (1948)
契約不履行,49307,けいやくふりこう,nonfulfillment of a contract
客室稼働率,49351,きゃくしつかどうりつ,room occupancy ratio
情報化社会,49549,じょうほうかしゃかい,information society
注意力散漫,49901,ちゅういりょくさんまん,inattention
温帯低気圧,49931,おんたいていきあつ,extratropical cyclone
無農薬栽培,49971,むのうやくさいばい,organic farming
現実主義者,50034,げんじつしゅぎしゃ,a realist
理学療法士,50037,りがくりょうほうし,physiotherapist
立体駐車場,50194,りったいちゅうしゃじょう,multi-storey car park
自動車保険,50348,じどうしゃほけん,automobile insurance
著作権侵害,50406,ちょさくけんしんがい,infringement of copyright
血栓塞栓症,50433,けっせんそくせんしょう,thromboembolism
赤外線写真,50538,せきがいせんしゃしん,infrared photography
路上生活者,50550,ろじょうせいかつしゃ,homeless people (living on the street)
郵便配達員,50632,ゆうびんはいたついん,postman
鎖骨下動脈,50678,さこつかどうみゃく,subclavian artery
集団食中毒,50724,しゅうだんしょくちゅうどく,mass food poisoning
電子顕微鏡,50740,でんしけんびきょう,electron microscope
電波探知機,50743,でんぱたんちき,radar
非正規雇用,50761,ひせいきこよう,irregular employment
上腕三頭筋,51102,じょうわんさんとうきん,triceps brachii muscle
不法入国者,51119,ふほうにゅうこくしゃ,illegal immigrant
元交際相手,51321,もとこうさいあいて,former boyfriend
